word,count
oturan,19
birileri,19
çalışarak,19
burayı,19
karısı,19
demirle,19
çaresiz,19
olmasa,19
sözü,19
çabuk,19
ortadan,19
denen,19
bitkin,19
komiserim,19
getirdi,19
kapısını,19
kapısının,19
nedenle,19
bırak,19
geldim,19
almıştı,19
dua,19
yaklaştım,19
içindeydi,19
telefon,18
zayıf,18
rahmetli,18
yolda,18
cerrah,18
kolayca,18
bulmak,18
suçlu,18
sözcüğü,18
cesur,18
kuşkulu,18
aziz,18
pis,18
anlattı,18
arabanın,18
boylu,18
sekiz,18
parçası,18
yazdığı,18
yektayı,18
geminin,18
herkesin,18
surları,18
gücünü,18
güvenlik,18
diyorsun,18
birbirlerine,18
yetmiş,18
çöp,18
gergin,18
yektaya,18
anlayan,18
ateşli,18
saçlı,18
kapısı,18
handana,18
yazıyordu,18
sıradan,18
sessizlik,18
hale,18
şahane,18
andan,18
sarayın,18
yatan,18
haklıydı,18
uçsuz,18
şaşkınlıkla,18
gül,18
kırk,18
avrupanın,18
amca,18
yapar,18
sonsuz,18
sütun,18
babasının,18
kızın,18
içimde,18
cinayetlerin,18
alicim,18
elektrik,18
evinin,18
uğruna,18
itiraz,18
yolcu,18
orası,18
manidar,18
yanımda,18
meydan,18
efendi,18
inen,18
îşte,18
istemiyorum,18
händelin,18
dönüyor,18
tehdit,18
vermedi,18
rastlantı,18
süleyman,18
konuya,18
bilgiler,18
ayasofyaya,18
sözler,18
kaşları,18
önemlisi,18
boyun,17
kilisenin,17
anıt,17
arkasına,17
mesaj,17
koku,17
devrim,17
alıyordu,17
ölümsüz,17
mucize,17
başından,17
işine,17
günün,17
mahcup,17
dikti,17
ellerinde,17
kesik,17
bizimle,17
babamın,17
koyuldu,17
çıkıyordu,17
koltuğa,17
dördüncü,17
dercesine,17
düştü,17
ait,17
yaklaşık,17
diyor,17
sütunu,17
kırıklığına,17
papağan,17
paranın,17
kapatıp,17
uğramış,17
taşıyan,17
yektayla,17
yazılı,17
ilgisini,17
biriydi,17
kurtulmak,17
gözden,17
olunca,17
türkiye,17
olmaya,17
anlamıştı,17
dünyayı,17
kanıt,17
kişinin,17
sahiden,17
romalı,17
yaklaştı,17
cevaz,17
kalın,17
imparatorluğu,17
camiye,17
imparatoru,17
gösteriyor,17
yarar,17
bucaksız,17
cinayetleri,17
benzeyen,17
girer,17
itiraf,17
balboanın,17
hafif,17
durmadan,17
sarayına,17
nedense,17
misiniz,17
saygı,17
okumaya,17
demiri,17
olmasaydı,17
uzattı,17
sürdürüyordu,17
yavuz,17
kaç,17
necdetle,17
kadına,17
napoléonun,17
dönmüş,17
sandım,17
kollarını,17
veteriner,17
gitmek,17
şimdiye,17
emniyet,17
amacıyla,17
oturup,17
nisan,17
bırakmak,17
ismi,17
yav,17
sevimli,17
coşku,17
abi,17
necdeti,16
yükseliyor,16
söylüyordu,16
beklemeden,16
söylüyorum,16
fettah,16
bedeni,16
field,16
aşk,16
masum,16
bahçe,16
gerekir,16
bahçeye,16
yerlere,16
yaptıran,16
fransız,16
bakıyor,16
yektanın,16
dışarıya,16
cami,16
düşünmeye,16
taze,16
taraftaki,16
cesedin,16
sokağın,16
